osu-benchmarks-9b9ff5d5d-sqzwh
# OSU MPI Latency Test v5.7.1
# Size          Latency (us)
0                       4.11
1                       4.41
2                       4.43
4                       5.63
8                      13.72
16                      5.28
32                      9.04
64                      5.62
128                     5.11
256                     4.95
512                     5.01
1024                   18.72
2048                    5.12
4096                    1.31
8192                   28.64
16384                  59.93
32768                  43.54
65536                 106.63
131072                250.73
262144                550.53
524288               1186.17
1048576              1992.57
2097152              4706.24
4194304              8836.62
osu-benchmarks-9b9ff5d5d-sqzwh
# OSU MPI Latency Test v5.7.1
# Size          Latency (us)
0                       4.98
1                       1.62
2                       5.12
4                       9.47
8                       5.24
16                      4.94
32                      9.15
64                      5.11
128                     5.49
256                     9.83
512                     4.77
1024                    5.27
2048                    4.61
4096                    9.55
8192                   19.71
16384                  52.96
32768                 100.23
65536                 150.84
131072                208.46
262144                433.16
524288                897.70
1048576              2083.36

