node,size,latency
osu-benchmarks-9b9ff5d5d-6vv54,0,7.33
osu-benchmarks-9b9ff5d5d-6vv54,1,4.95
osu-benchmarks-9b9ff5d5d-6vv54,2,4.95
osu-benchmarks-9b9ff5d5d-6vv54,4,4.89
osu-benchmarks-9b9ff5d5d-6vv54,8,2.75
osu-benchmarks-9b9ff5d5d-6vv54,16,5.00
osu-benchmarks-9b9ff5d5d-6vv54,32,6.87
osu-benchmarks-9b9ff5d5d-6vv54,64,5.00
osu-benchmarks-9b9ff5d5d-6vv54,128,5.17
osu-benchmarks-9b9ff5d5d-6vv54,256,7.63
osu-benchmarks-9b9ff5d5d-6vv54,512,4.84
osu-benchmarks-9b9ff5d5d-6vv54,1024,2.30
osu-benchmarks-9b9ff5d5d-6vv54,2048,2.85
osu-benchmarks-9b9ff5d5d-6vv54,4096,7.39
osu-benchmarks-9b9ff5d5d-6vv54,8192,15.11
osu-benchmarks-9b9ff5d5d-6vv54,16384,22.65
osu-benchmarks-9b9ff5d5d-6vv54,32768,45.74
osu-benchmarks-9b9ff5d5d-6vv54,65536,129.10
osu-benchmarks-9b9ff5d5d-6vv54,131072,222.71
osu-benchmarks-9b9ff5d5d-6vv54,262144,376.28
osu-benchmarks-9b9ff5d5d-6vv54,524288,803.88
osu-benchmarks-9b9ff5d5d-6vv54,1048576,1547.78
osu-benchmarks-9b9ff5d5d-6vv54,2097152,3901.87
osu-benchmarks-9b9ff5d5d-6vv54,4194304,6926.18
osu-benchmarks-9b9ff5d5d-85282,0,4.62
osu-benchmarks-9b9ff5d5d-85282,1,1.16
osu-benchmarks-9b9ff5d5d-85282,2,4.74
osu-benchmarks-9b9ff5d5d-85282,4,5.10
osu-benchmarks-9b9ff5d5d-85282,8,1.61
osu-benchmarks-9b9ff5d5d-85282,16,5.36
osu-benchmarks-9b9ff5d5d-85282,32,4.88
osu-benchmarks-9b9ff5d5d-85282,64,5.04
osu-benchmarks-9b9ff5d5d-85282,128,4.97
osu-benchmarks-9b9ff5d5d-85282,256,5.19
osu-benchmarks-9b9ff5d5d-85282,512,8.94
osu-benchmarks-9b9ff5d5d-85282,1024,9.65
osu-benchmarks-9b9ff5d5d-85282,2048,10.36
osu-benchmarks-9b9ff5d5d-85282,4096,14.47
osu-benchmarks-9b9ff5d5d-85282,8192,14.89
osu-benchmarks-9b9ff5d5d-85282,16384,43.54
osu-benchmarks-9b9ff5d5d-85282,32768,13.42
